index,label,phoneme1,phoneme2,phoneme3,phoneme4,phoneme5,phoneme6,phoneme7
825,AXZH,AX,ZH,,,,,
826,AXRB,AXR,B,,,,,
827,AXRCH,AXR,CH,,,,,
828,AXRD,AXR,D,,,,,
829,AXRDH,AXR,DH,,,,,
830,AXRDX,AXR,DX,,,,,
831,AXREL,AXR,EL,,,,,
832,AXREM,AXR,EM,,,,,
833,AXREN,AXR,EN,,,,,
834,AXRF,AXR,F,,,,,
835,AXRG,AXR,G,,,,,
836,AXRHH,AXR,HH,,,,,
837,AXRJH,AXR,JH,,,,,
838,AXRK,AXR,K,,,,,
839,AXRL,AXR,L,,,,,
840,AXRM,AXR,M,,,,,
841,AXRN,AXR,N,,,,,
842,AXRNG,AXR,NG,,,,,
843,AXRNX,AXR,NX,,,,,
844,AXRP,AXR,P,,,,,
845,AXRQ,AXR,Q,,,,,
846,AXRR,AXR,R,,,,,
847,AXRS,AXR,S,,,,,
848,AXRSH,AXR,SH,,,,,
849,AXRT,AXR,T,,,,,
850,AXRTH,AXR,TH,,,,,
851,AXRV,AXR,V,,,,,
852,AXRW,AXR,W,,,,,
853,AXRWH,AXR,WH,,,,,
854,AXRY,AXR,Y,,,,,
855,AXRZ,AXR,Z,,,,,
856,AXRZH,AXR,ZH,,,,,
857,AYB,AY,B,,,,,
858,AYCH,AY,CH,,,,,
859,AYD,AY,D,,,,,
860,AYDH,AY,DH,,,,,
861,AYDX,AY,DX,,,,,
862,AYEL,AY,EL,,,,,
863,AYEM,AY,EM,,,,,
864,AYEN,AY,EN,,,,,
865,AYF,AY,F,,,,,
866,AYG,AY,G,,,,,
867,AYHH,AY,HH,,,,,
868,AYJH,AY,JH,,,,,
869,AYK,AY,K,,,,,
870,AYL,AY,L,,,,,
871,AYM,AY,M,,,,,
872,AYN,AY,N,,,,,
873,AYNG,AY,NG,,,,,
874,AYNX,AY,NX,,,,,
875,AYP,AY,P,,,,,
876,AYQ,AY,Q,,,,,
877,AYR,AY,R,,,,,
878,AYS,AY,S,,,,,
879,AYSH,AY,SH,,,,,
880,AYT,AY,T,,,,,
881,AYTH,AY,TH,,,,,
882,AYV,AY,V,,,,,
883,AYW,AY,W,,,,,
884,AYWH,AY,WH,,,,,
885,AYY,AY,Y,,,,,
886,AYZ,AY,Z,,,,,
887,AYZH,AY,ZH,,,,,
888,EHB,EH,B,,,,,
889,EHCH,EH,CH,,,,,
890,EHD,EH,D,,,,,
891,EHDH,EH,DH,,,,,
892,EHDX,EH,DX,,,,,
893,EHEL,EH,EL,,,,,
894,EHEM,EH,EM,,,,,
895,EHEN,EH,EN,,,,,
896,EHF,EH,F,,,,,
897,EHG,EH,G,,,,,
898,EHHH,EH,HH,,,,,
899,EHJH,EH,JH,,,,,
900,EHK,EH,K,,,,,
901,EHL,EH,L,,,,,
902,EHM,EH,M,,,,,
903,EHN,EH,N,,,,,
904,EHNG,EH,NG,,,,,
905,EHNX,EH,NX,,,,,
906,EHP,EH,P,,,,,
907,EHQ,EH,Q,,,,,
908,EHR,EH,R,,,,,
909,EHS,EH,S,,,,,
910,EHSH,EH,SH,,,,,
911,EHT,EH,T,,,,,
912,EHTH,EH,TH,,,,,
913,EHV,EH,V,,,,,
914,EHW,EH,W,,,,,
915,EHWH,EH,WH,,,,,
916,EHY,EH,Y,,,,,
917,EHZ,EH,Z,,,,,
918,EHZH,EH,ZH,,,,,
919,ERB,ER,B,,,,,
920,ERCH,ER,CH,,,,,
921,ERD,ER,D,,,,,
922,ERDH,ER,DH,,,,,
923,ERDX,ER,DX,,,,,
924,EREL,ER,EL,,,,,
925,EREM,ER,EM,,,,,
926,EREN,ER,EN,,,,,
927,ERF,ER,F,,,,,
928,ERG,ER,G,,,,,
929,ERHH,ER,HH,,,,,
930,ERJH,ER,JH,,,,,
931,ERK,ER,K,,,,,
932,ERL,ER,L,,,,,
933,ERM,ER,M,,,,,
934,ERN,ER,N,,,,,
935,ERNG,ER,NG,,,,,
936,ERNX,ER,NX,,,,,
937,ERP,ER,P,,,,,
938,ERQ,ER,Q,,,,,
939,ERR,ER,R,,,,,
940,ERS,ER,S,,,,,
941,ERSH,ER,SH,,,,,
942,ERT,ER,T,,,,,
943,ERTH,ER,TH,,,,,
944,ERV,ER,V,,,,,
945,ERW,ER,W,,,,,
946,ERWH,ER,WH,,,,,
947,ERY,ER,Y,,,,,
948,ERZ,ER,Z,,,,,
949,ERZH,ER,ZH,,,,,
950,EYB,EY,B,,,,,
951,EYCH,EY,CH,,,,,
952,EYD,EY,D,,,,,
953,EYDH,EY,DH,,,,,
954,EYDX,EY,DX,,,,,
955,EYEL,EY,EL,,,,,
956,EYEM,EY,EM,,,,,
957,EYEN,EY,EN,,,,,
958,EYF,EY,F,,,,,
959,EYG,EY,G,,,,,
960,EYHH,EY,HH,,,,,
961,EYJH,EY,JH,,,,,
962,EYK,EY,K,,,,,
963,EYL,EY,L,,,,,
964,EYM,EY,M,,,,,
965,EYN,EY,N,,,,,
966,EYNG,EY,NG,,,,,
967,EYNX,EY,NX,,,,,
968,EYP,EY,P,,,,,
969,EYQ,EY,Q,,,,,
970,EYR,EY,R,,,,,
971,EYS,EY,S,,,,,
972,EYSH,EY,SH,,,,,
973,EYT,EY,T,,,,,
974,EYTH,EY,TH,,,,,
975,EYV,EY,V,,,,,
976,EYW,EY,W,,,,,
977,EYWH,EY,WH,,,,,
978,EYY,EY,Y,,,,,
979,EYZ,EY,Z,,,,,
980,EYZH,EY,ZH,,,,,
981,IHB,IH,B,,,,,
982,IHCH,IH,CH,,,,,
983,IHD,IH,D,,,,,
984,IHDH,IH,DH,,,,,
985,IHDX,IH,DX,,,,,
986,IHEL,IH,EL,,,,,
987,IHEM,IH,EM,,,,,
988,IHEN,IH,EN,,,,,
989,IHF,IH,F,,,,,
990,IHG,IH,G,,,,,
991,IHHH,IH,HH,,,,,
992,IHJH,IH,JH,,,,,
993,IHK,IH,K,,,,,
994,IHL,IH,L,,,,,
995,IHM,IH,M,,,,,
996,IHN,IH,N,,,,,
997,IHNG,IH,NG,,,,,
998,IHNX,IH,NX,,,,,
999,IHP,IH,P,,,,,
1000,IHQ,IH,Q,,,,,
1001,IHR,IH,R,,,,,
1002,IHS,IH,S,,,,,
1003,IHSH,IH,SH,,,,,
1004,IHT,IH,T,,,,,
1005,IHTH,IH,TH,,,,,
1006,IHV,IH,V,,,,,
1007,IHW,IH,W,,,,,
1008,IHWH,IH,WH,,,,,
1009,IHY,IH,Y,,,,,
1010,IHZ,IH,Z,,,,,
1011,IHZH,IH,ZH,,,,,
1012,IXB,IX,B,,,,,
1013,IXCH,IX,CH,,,,,
1014,IXD,IX,D,,,,,
1015,IXDH,IX,DH,,,,,
1016,IXDX,IX,DX,,,,,
1017,IXEL,IX,EL,,,,,
1018,IXEM,IX,EM,,,,,
1019,IXEN,IX,EN,,,,,
1020,IXF,IX,F,,,,,
1021,IXG,IX,G,,,,,
1022,IXHH,IX,HH,,,,,
1023,IXJH,IX,JH,,,,,
1024,IXK,IX,K,,,,,
1025,IXL,IX,L,,,,,
1026,IXM,IX,M,,,,,
1027,IXN,IX,N,,,,,
1028,IXNG,IX,NG,,,,,
1029,IXNX,IX,NX,,,,,
1030,IXP,IX,P,,,,,
1031,IXQ,IX,Q,,,,,
1032,IXR,IX,R,,,,,
1033,IXS,IX,S,,,,,
1034,IXSH,IX,SH,,,,,
1035,IXT,IX,T,,,,,
1036,IXTH,IX,TH,,,,,
1037,IXV,IX,V,,,,,
1038,IXW,IX,W,,,,,
1039,IXWH,IX,WH,,,,,
1040,IXY,IX,Y,,,,,
1041,IXZ,IX,Z,,,,,
1042,IXZH,IX,ZH,,,,,
1043,IYB,IY,B,,,,,
1044,IYCH,IY,CH,,,,,
1045,IYD,IY,D,,,,,
1046,IYDH,IY,DH,,,,,
1047,IYDX,IY,DX,,,,,
1048,IYEL,IY,EL,,,,,
1049,IYEM,IY,EM,,,,,
1050,IYEN,IY,EN,,,,,
1051,IYF,IY,F,,,,,
1052,IYG,IY,G,,,,,
1053,IYHH,IY,HH,,,,,
1054,IYJH,IY,JH,,,,,
1055,IYK,IY,K,,,,,
1056,IYL,IY,L,,,,,
1057,IYM,IY,M,,,,,
1058,IYN,IY,N,,,,,
1059,IYNG,IY,NG,,,,,
1060,IYNX,IY,NX,,,,,
1061,IYP,IY,P,,,,,
1062,IYQ,IY,Q,,,,,
1063,IYR,IY,R,,,,,
1064,IYS,IY,S,,,,,
1065,IYSH,IY,SH,,,,,
1066,IYT,IY,T,,,,,
1067,IYTH,IY,TH,,,,,
1068,IYV,IY,V,,,,,
1069,IYW,IY,W,,,,,
1070,IYWH,IY,WH,,,,,
1071,IYY,IY,Y,,,,,
1072,IYZ,IY,Z,,,,,
1073,IYZH,IY,ZH,,,,,
1074,OWB,OW,B,,,,,
1075,OWCH,OW,CH,,,,,
1076,OWD,OW,D,,,,,
1077,OWDH,OW,DH,,,,,
1078,OWDX,OW,DX,,,,,
1079,OWEL,OW,EL,,,,,
1080,OWEM,OW,EM,,,,,
1081,OWEN,OW,EN,,,,,
1082,OWF,OW,F,,,,,
1083,OWG,OW,G,,,,,
1084,OWHH,OW,HH,,,,,
1085,OWJH,OW,JH,,,,,
1086,OWK,OW,K,,,,,
1087,OWL,OW,L,,,,,
1088,OWM,OW,M,,,,,
1089,OWN,OW,N,,,,,
1090,OWNG,OW,NG,,,,,
1091,OWNX,OW,NX,,,,,
1092,OWP,OW,P,,,,,
1093,OWQ,OW,Q,,,,,
1094,OWR,OW,R,,,,,
1095,OWS,OW,S,,,,,
1096,OWSH,OW,SH,,,,,
1097,OWT,OW,T,,,,,
1098,OWTH,OW,TH,,,,,
1099,OWV,OW,V,,,,,
1100,OWW,OW,W,,,,,
1101,OWWH,OW,WH,,,,,
1102,OWY,OW,Y,,,,,
1103,OWZ,OW,Z,,,,,
1104,OWZH,OW,ZH,,,,,
1105,OYB,OY,B,,,,,
1106,OYCH,OY,CH,,,,,
1107,OYD,OY,D,,,,,
1108,OYDH,OY,DH,,,,,
1109,OYDX,OY,DX,,,,,
1110,OYEL,OY,EL,,,,,
1111,OYEM,OY,EM,,,,,
1112,OYEN,OY,EN,,,,,
1113,OYF,OY,F,,,,,
1114,OYG,OY,G,,,,,
1115,OYHH,OY,HH,,,,,
1116,OYJH,OY,JH,,,,,
1117,OYK,OY,K,,,,,
1118,OYL,OY,L,,,,,
1119,OYM,OY,M,,,,,
1120,OYN,OY,N,,,,,
1121,OYNG,OY,NG,,,,,
1122,OYNX,OY,NX,,,,,
1123,OYP,OY,P,,,,,
1124,OYQ,OY,Q,,,,,
1125,OYR,OY,R,,,,,
1126,OYS,OY,S,,,,,
1127,OYSH,OY,SH,,,,,
1128,OYT,OY,T,,,,,
1129,OYTH,OY,TH,,,,,
1130,OYV,OY,V,,,,,
1131,OYW,OY,W,,,,,
1132,OYWH,OY,WH,,,,,
1133,OYY,OY,Y,,,,,
1134,OYZ,OY,Z,,,,,
1135,OYZH,OY,ZH,,,,,
1136,UHB,UH,B,,,,,
1137,UHCH,UH,CH,,,,,
1138,UHD,UH,D,,,,,
1139,UHDH,UH,DH,,,,,
1140,UHDX,UH,DX,,,,,
1141,UHEL,UH,EL,,,,,
1142,UHEM,UH,EM,,,,,
1143,UHEN,UH,EN,,,,,
1144,UHF,UH,F,,,,,
1145,UHG,UH,G,,,,,
1146,UHHH,UH,HH,,,,,
1147,UHJH,UH,JH,,,,,
1148,UHK,UH,K,,,,,
1149,UHL,UH,L,,,,,
1150,UHM,UH,M,,,,,
1151,UHN,UH,N,,,,,
1152,UHNG,UH,NG,,,,,
1153,UHNX,UH,NX,,,,,
1154,UHP,UH,P,,,,,
1155,UHQ,UH,Q,,,,,
1156,UHR,UH,R,,,,,
1157,UHS,UH,S,,,,,
1158,UHSH,UH,SH,,,,,
1159,UHT,UH,T,,,,,
1160,UHTH,UH,TH,,,,,
1161,UHV,UH,V,,,,,
1162,UHW,UH,W,,,,,
1163,UHWH,UH,WH,,,,,
1164,UHY,UH,Y,,,,,
1165,UHZ,UH,Z,,,,,
1166,UHZH,UH,ZH,,,,,
1167,UWB,UW,B,,,,,
1168,UWCH,UW,CH,,,,,
1169,UWD,UW,D,,,,,
1170,UWDH,UW,DH,,,,,
1171,UWDX,UW,DX,,,,,
1172,UWEL,UW,EL,,,,,
1173,UWEM,UW,EM,,,,,
1174,UWEN,UW,EN,,,,,
1175,UWF,UW,F,,,,,
1176,UWG,UW,G,,,,,
1177,UWHH,UW,HH,,,,,
1178,UWJH,UW,JH,,,,,
1179,UWK,UW,K,,,,,
1180,UWL,UW,L,,,,,
1181,UWM,UW,M,,,,,
1182,UWN,UW,N,,,,,
1183,UWNG,UW,NG,,,,,
1184,UWNX,UW,NX,,,,,
1185,UWP,UW,P,,,,,
1186,UWQ,UW,Q,,,,,
1187,UWR,UW,R,,,,,
1188,UWS,UW,S,,,,,
1189,UWSH,UW,SH,,,,,
1190,UWT,UW,T,,,,,
1191,UWTH,UW,TH,,,,,
1192,UWV,UW,V,,,,,
1193,UWW,UW,W,,,,,
1194,UWWH,UW,WH,,,,,
1195,UWY,UW,Y,,,,,
1196,UWZ,UW,Z,,,,,
1197,UWZH,UW,ZH,,,,,
1198,UXB,UX,B,,,,,
1199,UXCH,UX,CH,,,,,
1200,UXD,UX,D,,,,,
1201,UXDH,UX,DH,,,,,
1202,UXDX,UX,DX,,,,,
1203,UXEL,UX,EL,,,,,
1204,UXEM,UX,EM,,,,,
1205,UXEN,UX,EN,,,,,
1206,UXF,UX,F,,,,,
1207,UXG,UX,G,,,,,
1208,UXHH,UX,HH,,,,,
1209,UXJH,UX,JH,,,,,
1210,UXK,UX,K,,,,,
1211,UXL,UX,L,,,,,
1212,UXM,UX,M,,,,,
1213,UXN,UX,N,,,,,
1214,UXNG,UX,NG,,,,,
1215,UXNX,UX,NX,,,,,
1216,UXP,UX,P,,,,,
1217,UXQ,UX,Q,,,,,
1218,UXR,UX,R,,,,,
1219,UXS,UX,S,,,,,
1220,UXSH,UX,SH,,,,,
1221,UXT,UX,T,,,,,
1222,UXTH,UX,TH,,,,,
1223,UXV,UX,V,,,,,
1224,UXW,UX,W,,,,,
1225,UXWH,UX,WH,,,,,
1226,UXY,UX,Y,,,,,
1227,UXZ,UX,Z,,,,,
1228,UXZH,UX,ZH,,,,,
1229,GENER,G,EN,ER,,,,
1230,MELAH,M,EL,AH,,,,
1231,DHWHAA,DH,WH,AA,,,,
1232,WHPUX,WH,P,UX,,,,
1233,YTUH,Y,T,UH,,,,
1234,NGSIY,NG,S,IY,,,,
1235,RHHAX,R,HH,AX,,,,
1236,EMPIX,EM,P,IX,,,,
1237,GSEH,G,S,EH,,,,
1238,SYAO,S,Y,AO,,,,
1239,BHHER,B,HH,ER,,,,
1240,RWHAXR,R,WH,AXR,,,,
1241,SNGAX,S,NG,AX,,,,
1242,GHHAA,G,HH,AA,,,,
1243,NGDXUX,NG,DX,UX,,,,
1244,HHRAXR,HH,R,AXR,,,,
1245,ZHJHAXR,ZH,JH,AXR,,,,
1246,SKAXR,S,K,AXR,,,,
1247,YWAO,Y,W,AO,,,,
1248,QENUW,Q,EN,UW,,,,
1249,JHSHAA,JH,SH,AA,,,,
1250,ELDHIY,EL,DH,IY,,,,
1251,NNAO,N,N,AO,,,,
1252,LVIH,L,V,IH,,,,
1253,MGUX,M,G,UX,,,,
1254,TCHAA,T,CH,AA,,,,
1255,BGAO,B,G,AO,,,,
1256,GQIX,G,Q,IX,,,,
1257,MQAW,M,Q,AW,,,,
1258,YJHIY,Y,JH,IY,,,,
1259,GZAH,G,Z,AH,,,,
1260,CHWHUX,CH,WH,UX,,,,
1261,RSAW,R,S,AW,,,,
1262,EMWAY,EM,W,AY,,,,
1263,ENFOW,EN,F,OW,,,,
1264,CHTHUW,CH,TH,UW,,,,
1265,HHDXOY,HH,DX,OY,,,,
1266,THZHAE,TH,ZH,AE,,,,
1267,SHSAW,SH,S,AW,,,,
1268,WBAXR,W,B,AXR,,,,
1269,DEMEY,D,EM,EY,,,,
1270,YCHUW,Y,CH,UW,,,,
1271,JHZHAX,JH,ZH,AX,,,,
1272,KJHOW,K,JH,OW,,,,
1273,SQAH,S,Q,AH,,,,
1274,ENGUH,EN,G,UH,,,,
1275,CHWER,CH,W,ER,,,,
1276,BDHEH,B,DH,EH,,,,
1277,ZDHUH,Z,DH,UH,,,,
1278,FDEY,F,D,EY,,,,
1279,TDXUX,T,DX,UX,,,,
1280,QPAX,Q,P,AX,,,,
1281,VWIX,V,W,IX,,,,
1282,SHTAO,SH,T,AO,,,,
1283,WHZUH,WH,Z,UH,,,,
1284,TVAW,T,V,AW,,,,
1285,PMEH,P,M,EH,,,,
1286,TTIY,T,T,IY,,,,
1287,STAE,S,T,AE,,,,
1288,LZHIH,L,ZH,IH,,,,
1289,BENOW,B,EN,OW,,,,
1290,NXENAY,NX,EN,AY,,,,
1291,RVUH,R,V,UH,,,,
1292,EMKAXR,EM,K,AXR,,,,
1293,DXRIX,DX,R,IX,,,,
1294,SVER,S,V,ER,,,,
1295,ENLEY,EN,L,EY,,,,
1296,DXLUX,DX,L,UX,,,,
1297,BTIY,B,T,IY,,,,
1298,VTHEH,V,TH,EH,,,,
1299,KYEH,K,Y,EH,,,,
1300,DSHEY,D,SH,EY,,,,
1301,VKAXR,V,K,AXR,,,,
1302,NFUW,N,F,UW,,,,
1303,QRIX,Q,R,IX,,,,
1304,EMELIX,EM,EL,IX,,,,
1305,BYIX,B,Y,IX,,,,
1306,DDEH,D,D,EH,,,,
1307,GNGOW,G,NG,OW,,,,
1308,MMAX,M,M,AX,,,,
1309,SHQAX,SH,Q,AX,,,,
1310,WHWHOW,WH,WH,OW,,,,
1311,ZHGAY,ZH,G,AY,,,,
1312,NNGOY,N,NG,OY,,,,
1313,VBAO,V,B,AO,,,,
1314,RTHIX,R,TH,IX,,,,
1315,NKEH,N,K,EH,,,,
1316,WTAW,W,T,AW,,,,
1317,ENPOW,EN,P,OW,,,,
1318,NXKER,NX,K,ER,,,,
1319,GPAXR,G,P,AXR,,,,
1320,PLEH,P,L,EH,,,,
1321,ELHHIH,EL,HH,IH,,,,
1322,WHNIX,WH,N,IX,,,,
1323,DHRAO,DH,R,AO,,,,
1324,WJHUW,W,JH,UW,,,,
1325,WHDUH,WH,D,UH,,,,
1326,FZIY,F,Z,IY,,,,
1327,ZLEH,Z,L,EH,,,,
1328,SHNXOW,SH,NX,OW,,,,
1329,HHRIY,HH,R,IY,,,,
1330,DHCHAXR,DH,CH,AXR,,,,
1331,QBEH,Q,B,EH,,,,
1332,ELEMAXR,EL,EM,AXR,,,,
1333,MNGOY,M,NG,OY,,,,
1334,SPUW,S,P,UW,,,,
1335,THWUX,TH,W,UX,,,,
1336,SVIH,S,V,IH,,,,
1337,EMEMAH,EM,EM,AH,,,,
1338,THYUH,TH,Y,UH,,,,
1339,WHRAE,WH,R,AE,,,,
1340,RWIH,R,W,IH,,,,
1341,NXZAE,NX,Z,AE,,,,
1342,CHHHIY,CH,HH,IY,,,,
1343,LDUH,L,D,UH,,,,
1344,MMIH,M,M,IH,,,,
1345,EMMER,EM,M,ER,,,,
1346,VNIX,V,N,IX,,,,
1347,PTIH,P,T,IH,,,,
1348,PNXIY,P,NX,IY,,,,
1349,HHVAX,HH,V,AX,,,,
1350,RNAX,R,N,AX,,,,
1351,NGTHAE,NG,TH,AE,,,,
1352,FDHUX,F,DH,UX,,,,
1353,NZIH,N,Z,IH,,,,
1354,CHKUX,CH,K,UX,,,,
1355,ZHTHUW,ZH,TH,UW,,,,
1356,PKAXR,P,K,AXR,,,,
1357,GELER,G,EL,ER,,,,
1358,HHTEH,HH,T,EH,,,,
1359,WDEY,W,D,EY,,,,
1360,SHHHAE,SH,HH,AE,,,,
1361,ENGIX,EN,G,IX,,,,
1362,LRAO,L,R,AO,,,,
1363,WHDAA,WH,D,AA,,,,
1364,SDXAY,S,DX,AY,,,,
1365,DHFOW,DH,F,OW,,,,
1366,ZRIX,Z,R,IX,,,,
1367,SQIX,S,Q,IX,,,,
1368,SHSHAH,SH,SH,AH,,,,
1369,SNOW,S,N,OW,,,,
1370,TTHEH,T,TH,EH,,,,
1371,KNUX,K,N,UX,,,,
1372,WCHIX,W,CH,IX,,,,
1373,STAH,S,T,AH,,,,
1374,LKAO,L,K,AO,,,,
1375,LQAO,L,Q,AO,,,,
1376,RELUW,R,EL,UW,,,,
1377,RWHAW,R,WH,AW,,,,
1378,YRUH,Y,R,UH,,,,
1379,NXVAO,NX,V,AO,,,,
1380,BTHUW,B,TH,UW,,,,
1381,KCHIX,K,CH,IX,,,,
1382,JHZHEH,JH,ZH,EH,,,,
1383,GNXAX,G,NX,AX,,,,
1384,SHGAX,SH,G,AX,,,,
1385,VSHAE,V,SH,AE,,,,
1386,ZPAX,Z,P,AX,,,,
1387,VDHIX,V,DH,IX,,,,
1388,DSAH,D,S,AH,,,,
1389,GGUH,G,G,UH,,,,
1390,MJHAW,M,JH,AW,,,,
1391,SHTHAO,SH,TH,AO,,,,
1392,BENEY,B,EN,EY,,,,
1393,TWHOY,T,WH,OY,,,,
1394,CHJHAX,CH,JH,AX,,,,
1395,ENZIX,EN,Z,IX,,,,
1396,NXMEH,NX,M,EH,,,,
1397,WFUH,W,F,UH,,,,
1398,HHDEH,HH,D,EH,,,,
1399,NGZHUW,NG,ZH,UW,,,,
1400,DHTIY,DH,T,IY,,,,
1401,NGDXUW,NG,DX,UW,,,,
1402,YQUH,Y,Q,UH,,,,
1403,CHMAXR,CH,M,AXR,,,,
1404,DHGEH,DH,G,EH,,,,
1405,ENDER,EN,D,ER,,,,
1406,SRUX,S,R,UX,,,,
1407,PKAA,P,K,AA,,,,
1408,MJHUH,M,JH,UH,,,,
1409,ZHNOW,ZH,N,OW,,,,
1410,NELAH,N,EL,AH,,,,
1411,WHFAE,WH,F,AE,,,,
1412,NGDAX,NG,D,AX,,,,
1413,KGEY,K,G,EY,,,,
1414,JHHHAX,JH,HH,AX,,,,
1415,CHLUX,CH,L,UX,,,,
1416,QDXAE,Q,DX,AE,,,,
1417,WHWAW,WH,W,AW,,,,
1418,SHYAO,SH,Y,AO,,,,
1419,TQAX,T,Q,AX,,,,
1420,WVUH,W,V,UH,,,,
1421,LWEH,L,W,EH,,,,
1422,HHBAW,HH,B,AW,,,,
1423,ENZHAY,EN,ZH,AY,,,,
1424,EMDXUH,EM,DX,UH,,,,
1425,NRUH,N,R,UH,,,,
1426,WHWIH,WH,W,IH,,,,
1427,JHNAW,JH,N,AW,,,,
1428,CHGUH,CH,G,UH,,,,
1429,RERS,R,ER,S,,,,
1430,NIXEL,N,IX,EL,,,,
1431,ZAHDH,Z,AH,DH,,,,
1432,NGUHN,NG,UH,N,,,,
1433,ZHEYHH,ZH,EY,HH,,,,
1434,ENAXRY,EN,AXR,Y,,,,
1435,PAAY,P,AA,Y,,,,
1436,YUWG,Y,UW,G,,,,
1437,NERG,N,ER,G,,,,
1438,DIYB,D,IY,B,,,,
1439,JHAYDH,JH,AY,DH,,,,
1440,SHEYK,SH,EY,K,,,,
1441,WUXSH,W,UX,SH,,,,
1442,NGAWSH,NG,AW,SH,,,,
1443,ENOYEN,EN,OY,EN,,,,
1444,QEHWH,Q,EH,WH,,,,
1445,ZAHHH,Z,AH,HH,,,,
1446,NIHJH,N,IH,JH,,,,
1447,GIXNX,G,IX,NX,,,,
1448,SIXEM,S,IX,EM,,,,
1449,PEHB,P,EH,B,,,,
1450,NGAHR,NG,AH,R,,,,
1451,FUXDH,F,UX,DH,,,,
1452,BUHY,B,UH,Y,,,,
1453,EMERN,EM,ER,N,,,,
1454,DAEG,D,AE,G,,,,
1455,DHAXRNG,DH,AXR,NG,,,,
1456,DHERV,DH,ER,V,,,,
1457,DXIYK,DX,IY,K,,,,
1458,NIYQ,N,IY,Q,,,,
1459,ZOYTH,Z,OY,TH,,,,
1460,WAHNG,W,AH,NG,,,,
1461,BAHHH,B,AH,HH,,,,
1462,SUWF,S,UW,F,,,,
1463,HHAENX,HH,AE,NX,,,,
1464,NGOWNX,NG,OW,NX,,,,
1465,DXAAN,DX,AA,N,,,,
1466,BOWWH,B,OW,WH,,,,
1467,NXIHZ,NX,IH,Z,,,,
1468,VERR,V,ER,R,,,,
1469,TERR,T,ER,R,,,,
1470,GAYWH,G,AY,WH,,,,
1471,NXAHL,NX,AH,L,,,,
1472,ZIYZ,Z,IY,Z,,,,
1473,FAWHH,F,AW,HH,,,,
1474,HHEYWH,HH,EY,WH,,,,
1475,GIHHH,G,IH,HH,,,,
1476,ZHAYHH,ZH,AY,HH,,,,
1477,ZIYF,Z,IY,F,,,,
1478,ENERF,EN,ER,F,,,,
1479,PIHDH,P,IH,DH,,,,
1480,NIYHH,N,IY,HH,,,,
1481,ELOWV,EL,OW,V,,,,
1482,ELUXDX,EL,UX,DX,,,,
1483,PAXRK,P,AXR,K,,,,
1484,NEYL,N,EY,L,,,,
1485,JHAWW,JH,AW,W,,,,
1486,NGAANG,NG,AA,NG,,,,
1487,BAYWH,B,AY,WH,,,,
1488,ZUWF,Z,UW,F,,,,
1489,DAXDX,D,AX,DX,,,,
1490,TIYZ,T,IY,Z,,,,
1491,JHIXL,JH,IX,L,,,,
1492,HHAXREL,HH,AXR,EL,,,,
1493,VOYHH,V,OY,HH,,,,
1494,NGAAZH,NG,AA,ZH,,,,
1495,VAEWH,V,AE,WH,,,,
1496,THOYL,TH,OY,L,,,,
1497,ZIXN,Z,IX,N,,,,
1498,FAHD,F,AH,D,,,,
1499,NAOS,N,AO,S,,,,
1500,WHOWN,WH,OW,N,,,,
1501,SHAYTH,SH,AY,TH,,,,
1502,WHAXV,WH,AX,V,,,,
1503,TAYK,T,AY,K,,,,
1504,MAOSH,M,AO,SH,,,,
1505,DXAYL,DX,AY,L,,,,
1506,SHIHEL,SH,IH,EL,,,,
1507,FAYP,F,AY,P,,,,
1508,JHERZH,JH,ER,ZH,,,,
1509,NAHR,N,AH,R,,,,
1510,ZUHV,Z,UH,V,,,,
1511,ZERQ,Z,ER,Q,,,,
1512,THAWD,TH,AW,D,,,,
1513,PIXEL,P,IX,EL,,,,
1514,TEYEM,T,EY,EM,,,,
1515,QIHK,Q,IH,K,,,,
1516,PIYCH,P,IY,CH,,,,
1517,VIYDH,V,IY,DH,,,,
1518,DAXRG,D,AXR,G,,,,
1519,ZHAHJH,ZH,AH,JH,,,,
1520,SHAYN,SH,AY,N,,,,
1521,CHAONG,CH,AO,NG,,,,
1522,NXIXK,NX,IX,K,,,,
1523,BERN,B,ER,N,,,,
1524,FUWS,F,UW,S,,,,
1525,NGEHS,NG,EH,S,,,,
1526,NXERN,NX,ER,N,,,,
1527,ZHAXRTH,ZH,AXR,TH,,,,
1528,DXAOK,DX,AO,K,,,,
1529,WHOWJH,WH,OW,JH,,,,
1530,QAWWH,Q,AW,WH,,,,
1531,QEHN,Q,EH,N,,,,
1532,NXAXP,NX,AX,P,,,,
1533,HHUWHH,HH,UW,HH,,,,
1534,TAHR,T,AH,R,,,,
1535,NAONX,N,AO,NX,,,,
1536,ZHAESH,ZH,AE,SH,,,,
1537,EMAHG,EM,AH,G,,,,
1538,NOWEN,N,OW,EN,,,,
1539,WHAHEM,WH,AH,EM,,,,
1540,VAYSH,V,AY,SH,,,,
1541,WIHW,W,IH,W,,,,
1542,MERS,M,ER,S,,,,
1543,BOWEL,B,OW,EL,,,,
1544,HHIXL,HH,IX,L,,,,
1545,BIXN,B,IX,N,,,,
1546,NGAYS,NG,AY,S,,,,
1547,CHOWY,CH,OW,Y,,,,
1548,SHIHDX,SH,IH,DX,,,,
1549,THIHV,TH,IH,V,,,,
1550,GAADX,G,AA,DX,,,,
